Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","402","A","Official figure","Official figure"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","433","A","Official figure","Official figure"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","296","A","Official figure","Official figure"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","296","E","Estimated value","Estimated Value"
"RP","Pesticides Use","012","Algeria","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","6067","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","012","Algeria","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","6067","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","012","Algeria","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","6067","E","Estimated value","Estimated Value"
"RP","Pesticides Use","012","Algeria","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","6067","E","Estimated value","Estimated Value"
"RP","Pesticides Use","020","Andorra","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","16","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","020","Andorra","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","17","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","020","Andorra","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","17","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","020","Andorra","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","16","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","024","Angola","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","40","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","024","Angola","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","40","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","024","Angola","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","40","E","Estimated value","Estimated Value"
"RP","Pesticides Use","024","Angola","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","40","E","Estimated value","Estimated Value"
